AddressLine	City	AdminDivision	Country	PostCode	Latitude	Longitude	Pokemon	Level
小岗村	滁州	AH	CN	883604	32.834289	117.777893	Dragonite	31
阿拉善温泉	阿勒泰	XJ	CN	076551	47.965879	88.792223	Quilava	15
黄山醉温泉	黄山	AH	CN	959346	29.715889	118.353525	Nidorino	97
四季生态园	通化	JL	CN	243031	42.599701	125.852884	Charmander	83
江西客家博物院	赣州	JX	CN	871964	25.860927	115.029852	Croconaw	64
情人泉	宜昌	HB	CN	890221	30.884272	111.346546	Staravia	33
三精制药工业园区	哈尔滨	HLJ	CN	776394	45.658329	126.655799	Bonsly	21
根河源国家湿地公园	呼伦贝尔	NMG	CN	034564	50.811145	121.593075	Munchlax	48
南翔古镇	上海	SH	CN	011542	31.296012	121.323162	Pachirisu	59
库布其沙漠	鄂尔多斯	NMG	CN	414291	40.527261	108.113596	Rhyperior	48
齐国历史博物馆	淄博	SD	CN	479408	36.859610	118.349823	Lurantis	43
佛影峡生态旅游区	重庆	ZQ	CN	875787	29.252870	106.677570	Sigilyph	64
湖南大围山	长沙	HN	CN	173117	28.434760	114.168161	Kommoo	63
北海公园	北京	BJ	CN	292513	39.928265	116.388767	Quagsire	38
茂陵博物馆	咸阳	SX	CN	501109	34.338518	108.586448	Grumpig	22
韩城市博物馆	渭南	SX	CN	139054	35.459857	110.441386	Dartrix	63
毛主席视察舒茶纪念馆	六安	AH	CN	736694	31.316169	117.033610	Pinsirmega	32
相山风景区	淮北	AH	CN	328050	33.977447	116.790045	Duosion	72
景山公园	北京	BJ	CN	466310	39.925847	116.396776	Bellossom	30
傅家边农业科技园	南京	JS	CN	257186	31.562866	119.027508	Crabrawler	25
茅兰沟	伊春	HLJ	CN	837063	49.117788	129.779672	Sandygast	85
六鼎山文化旅游区	延边	JL	CN	411121	43.306729	128.251345	Ursaring	41
