,citys,latlong,spots,provinces
91,泰安,"117.157242,36.164988",泰山,山东
92,济南,"117.016514,36.660026",趵突泉公园,山东
93,青岛,"120.477251,36.118870",崂山,山东
94,枣庄,"117.746969,34.552670",台儿庄古城,山东
95,烟台,"120.752633,37.827433",蓬莱阁,山东
96,威海,"122.187377,37.500168",刘公岛,山东
97,烟台,"120.479761,37.561104",龙口南山旅游区,山东
98,威海,"122.113870,37.424093",威海华夏城景区,山东
99,济宁,"116.999748,35.588929",曲阜孔林,山东
100,临沂,"117.978099,35.560981",沂蒙山旅游区,山东
101,烟台,"120.775612,37.825655",八仙过海景区,山东
102,临沂,"117.978099,35.560981",沂蒙山云蒙景区(蒙山国家森林公园),山东
103,临沂,"117.846735,35.542167",沂蒙山旅游区龟蒙景区,山东
104,烟台,"120.783961,37.821790",三仙山风景区,山东
105,潍坊,"118.621114,36.214398",沂蒙山旅游区沂山景区,山东
106,潍坊,"118.481462,36.679168",青州古城,山东
107,晋中,"112.174871,37.204593",平遥古城,山西
108,大同,"113.135890,40.111345",云冈石窟,山西
109,晋中,"112.437385,37.406475",乔家大院,山西
110,忻州,"113.586640,38.994708",五台山,山西
111,晋城,"112.584244,35.517007",皇城相府,山西
112,临汾,"111.675340,36.269111",洪洞大槐树,山西
113,忻州,"112.871932,39.084840",雁门关,山西
114,晋中,"112.042017,36.886724",绵山,山西
115,常州,"120.000776,31.823752",常州中华恐龙园,江苏
116,苏州,"120.629989,31.323712",拙政园,江苏
117,扬州,"119.430412,32.401369",瘦西湖,江苏
118,苏州,"120.848142,31.113981",同里古镇,江苏
119,苏州,"120.589508,31.336068",虎丘,江苏
120,无锡,"120.219644,31.527095",鼋头渚,江苏
121,苏州,"120.847876,31.113864",周庄,江苏
122,南京,"118.791397,32.021152",夫子庙,江苏
123,南京,"118.839731,32.058355",明孝陵,江苏
124,常州,"119.925906,31.701346",淹城野生动物世界,江苏
125,常州,"119.495250,31.308250",天目湖御水温泉,江苏
126,无锡,"120.233399,31.475520",无锡三国城,江苏
127,常州,"119.936096,31.699454",淹城春秋乐园,江苏
128,无锡,"120.233878,31.480420",无锡水浒城,江苏
129,常州,"119.495343,31.308187",天目湖南山竹海景区,江苏
130,苏州,"120.704137,31.325423",金鸡湖,江苏
131,苏州,"120.821798,31.568388",沙家浜,江苏
132,苏州,"120.439308,31.269666",穹窿山景区,江苏
133,常州,"119.423330,31.281216",天目湖旅游度假区,江苏
134,镇江,"119.437847,32.217115",镇江金山,江苏
135,连云港,"119.248599,34.647735",连云港花果山,江苏
136,苏州,"120.683988,31.630090",尚湖,江苏
137,常州,"119.434312,31.309958",天目湖山水园,江苏
138,镇江,"119.300662,31.789842",茅山,江苏
139,泰州,"120.093955,32.623122",溱湖国家湿地公园,江苏
140,镇江,"119.457520,32.216085",北固山,江苏
141,苏州,"120.739692,31.650982",虞山,江苏
142,常州,"119.920931,31.703661",春秋淹城遗址公园,江苏
143,镇江,"119.488853,32.231762",镇江焦山,江苏
144,南通,"120.857594,32.021507",濠河,江苏
145,苏州,"120.364002,31.076174",东山陆巷古村,江苏
146,盐城,"120.815442,32.983832",麋鹿保护区,江苏
147,徐州,"117.153902,34.237600",云龙湖,江苏
148,淮安,"119.138635,33.530694",河下古镇,江苏
149,镇江,"119.415706,32.213480",金山,江苏
150,常州,"119.925348,31.701647",春秋淹城旅游区,江苏
151,舟山,"122.391725,30.002643",普陀山,浙江
152,金华,"120.316838,29.137879",横店影视城,浙江
153,杭州,"120.064926,30.266938",西溪国家湿地公园,浙江
154,嘉兴,"120.890814,30.944785",西塘古镇,浙江
155,杭州,"120.119031,30.258517",西湖,浙江
156,杭州,"119.140999,29.608499",千岛湖,浙江
157,湖州,"120.431049,30.876247",南浔古镇,浙江
158,嘉兴,"120.498308,30.735381",乌镇,浙江
159,宁波,"121.279223,29.685644",溪口景区,浙江
160,宁波,"121.540482,29.871019",天一阁博物馆,浙江
161,温州,"120.838624,28.133446",雁荡山,浙江
162,嘉兴,"120.758838,30.753470",嘉兴南湖旅游区,浙江
163,绍兴,"120.584353,29.992656",鲁迅故里,浙江
164,衢州,"118.572246,28.526050",江郎山,浙江
165,台州,"121.420757,28.656386",台州天台山,浙江
166,台州,"120.742226,28.852392",仙居,浙江
167,衢州,"118.483870,28.290527",廿八都古镇,浙江
168,绍兴,"120.500152,30.086292",沈园,浙江
169,衢州,"118.392977,29.133668",开化根宫佛国文化旅游区,浙江
170,宁波,"121.391162,29.700323",滕头村,浙江
171,宁波,"121.214060,29.680025",应梦名山,浙江
172,萍乡,"113.868293,27.637853",武功山,江西
173,南昌,"115.876949,28.673169",滕王阁,江西
174,宜春,"114.281694,27.631886",明月山,江西
175,景德镇,"117.184805,29.284028",景德镇古窑民俗博览区,江西
176,九江,"115.982028,29.568829",庐山风景名胜区,江西
177,上饶,"118.094059,28.923104",三清山,江西
178,鹰潭,"116.993036,28.084118",江西龙虎山,江西
179,吉安,"115.032138,27.104924",井冈山,江西
180,上饶,"117.424411,28.316161",龟峰,江西
181,赣州,"116.075687,25.911778",叶坪革命遗址,江西
182,上饶,"118.053117,29.369179",江湾,江西
183,赣州,"115.997963,25.883037",二苏大景区,江西
184,抚州,"117.160792,27.703633",大觉山,江西
185,抚州,"117.144651,27.696648",大觉山漂流,江西
186,赣州,"115.426077,25.388222",共和国摇篮景区,江西
187,哈尔滨,"126.606722,45.791371",太阳岛,黑龙江
188,牡丹江,"128.920601,43.888133",镜泊湖风景区,黑龙江
189,黑河,"126.264190,48.695807",五大连池风景区,黑龙江
190,伊春,"129.455044,48.459997",汤旺河国家公园,黑龙江
191,昌吉,"87.279520,44.009563",天山天池,新疆
192,乌鲁木齐,"87.375758,43.431334",天山大峡谷,新疆
193,喀什,"76.971741,38.049492",金湖杨国家森林公园,新疆
194,伊犁,"84.039382,43.284792",那拉提旅游风景区,新疆
195,伊犁,"82.037801,43.098639",喀拉峻,新疆
196,阿勒泰,"89.884211,47.222081",可可托海,新疆
197,巴音郭楞,"87.020907,41.984289",博斯腾湖,新疆
198,吐鲁番,"89.243948,43.000369",葡萄沟,新疆
199,巴音郭楞,"86.526942,41.769285",莲海世界旅游风景区,新疆
200,巴音郭楞,"86.730953,41.909692",大河口景区,新疆
201,巴音郭楞,"85.341299,43.130256",巴音布鲁克草原,新疆
202,阿勒泰,"86.403325,48.310308",185团白沙湖边境景区,新疆
203,丽江,"100.232257,26.876213",丽江古城,云南
204,丽江,"100.179253,27.096143",玉龙雪山,云南
205,昆明,"102.658014,24.997065",石林,云南
206,大理,"100.143495,25.704321",崇圣寺三塔,云南
207,保山,"98.440565,24.947063",腾冲火山热海旅游区,云南
208,西双版纳,"101.257348,21.924375",中科院西双版纳热带植物园,云南
209,迪庆,"99.907721,27.800933",普达措国家公园,云南
210,昆明,"102.761145,25.072431",昆明世界园艺博览园,云南
211,昆明,"103.325119,24.824264",中国石林喀斯特地质博物馆,云南
212,安顺,"105.675114,25.980258",黄果树风景名胜区,贵州
213,铜仁,"108.646301,27.907714",梵净山,贵州
214,贵阳,"106.688472,26.329843",青岩古镇,贵州
215,安顺,"105.687964,26.003190",黄果树瀑布,贵州
216,安顺,"105.877481,26.106870",龙宫风景区,贵州
217,毕节,"105.840267,27.223292",百里杜鹃,贵州
218,厦门,"118.071601,24.443880",鼓浪屿,福建
219,南平,"118.036880,27.755380",武夷山,福建
220,福州,"119.296444,26.083775",三坊七巷,福建
221,龙岩,"117.041912,25.099013",高北土楼群（永定土楼）,福建
222,泉州,"118.595172,24.941035",清源山,福建
223,宁德,"120.194441,27.115469",太姥山,福建
224,三明,"117.102191,26.864990",大金湖,福建
225,宁德,"119.045825,27.057714",白水洋,福建
226,宁德,"119.111069,27.053607",鸳鸯溪大峡谷,福建
227,龙岩,"116.980705,24.593801",南溪土楼群,福建
228,龙岩,"117.022100,24.654550",洪坑土楼群,福建
229,延边,"128.114033,42.421556",长白山,吉林
230,长春,"125.348624,43.905763",伪满皇宫博物院,吉林
231,长春,"125.446876,43.772987",长影世纪城,吉林
232,长春,"125.454505,43.801361",净月潭,吉林
233,延边,"128.251345,43.306729",六鼎山文化旅游区,吉林
234,长春,"125.332866,43.822940",长春世界雕塑公园,吉林
235,黄山,"117.987237,30.000842",宏村,安徽
236,黄山,"118.171372,30.056859",黄山风景区,安徽
237,黄山,"117.995477,29.903860",西递村,安徽
238,池州,"117.826979,30.465050",九华山,安徽
239,芜湖,"118.375367,31.377820",芜湖方特欢乐世界（一期）,安徽
240,黄山,"118.370529,29.862104",牌坊群鲍家花园,安徽
241,六安,"115.804959,31.201102",天堂寨,安徽
242,安庆,"116.459753,30.721563",天柱山,安徽
243,黄山,"118.336751,29.827279",徽州古城,安徽
244,六安,"116.777464,31.303319",万佛湖,安徽
245,黄山,"118.436164,29.862840",古徽州文化旅游区,安徽
246,黄山,"118.281163,29.919257",呈坎,安徽
247,合肥,"117.253362,31.513019",三河古镇,安徽
248,宣城,"118.670207,30.076865",龙川风景区,安徽
249,阜阳,"116.306785,32.558398",八里河,安徽
250,宿州,"117.927408,33.505551",泗县运河人家景区,安徽
251,成都,"103.622689,30.998301",都江堰,四川
252,成都,"103.572265,30.897300",青城山,四川
253,乐山,"103.447060,29.568777",峨眉山,四川
254,乐山,"104.035831,29.732584",乐山大佛,四川
255,广元,"105.564612,32.218673",剑门关,四川
256,南充,"105.971200,31.574620",阆中古城,四川
257,甘孜州,"106.619003,32.361526",海螺沟,四川
258,阿坝藏族羌族自治州,"103.833028,32.743163",黄龙风景区,四川
259,阿坝藏族羌族自治州,"103.419499,30.931495",汶川特别旅游区,四川
260,阿坝藏族羌族自治州,"104.246713,33.247483",九寨沟,四川
261,广安,"106.636640,30.518305",邓小平故里,四川
262,绵阳,"104.453800,31.808000",北川羌城旅游区,四川
263,广安,"106.633212,30.455961",广安红色文化影视城,四川
264,南充,"106.601842,31.462408",朱德故里,四川
265,拉萨,"91.118473,29.654494",布达拉宫,西藏
266,拉萨,"91.132743,29.649939",大昭寺,西藏
267,林芝,"93.915780,30.004740",巴松措,西藏
268,日喀则,"88.871941,29.265392",扎什伦布寺,西藏
269,银川,"106.072005,38.614903",镇北堡西部影城,宁夏
270,中卫,"105.182009,37.512679",沙坡头旅游区,宁夏
271,银川,"106.520663,38.284069",水洞沟旅游区,宁夏
272,大连,"121.675400,38.871662",老虎滩海洋公园,辽宁
273,大连,"121.979517,39.084605",金石滩旅游度假区,辽宁
274,本溪,"123.766485,41.294175",本溪水洞,辽宁
275,鞍山,"123.141783,41.015864",鞍山千山,辽宁
276,沈阳,"123.649272,41.862464",沈阳世博园,辽宁
277,西宁,"101.567948,36.487837",塔尔寺,青海
278,海南藏族自治州,"100.471670,36.650970",青海湖二郎剑,青海
279,海东地区,"101.937034,36.834228",互助土族故土园,青海
280,酒泉,"94.676590,40.090889",鸣沙山月牙泉,甘肃
281,嘉峪关,"98.289152,39.773130",嘉峪关,甘肃
282,天水,"106.019144,34.374716",麦积山风景名胜区,甘肃
283,平凉,"106.530146,35.547631",崆峒山,甘肃
284,西安,"109.281166,34.385152",秦始皇陵博物院（兵马俑）,陕西
285,西安,"109.215236,34.353552",华清宫,陕西
286,渭南,"110.081667,34.530202",华山,陕西
287,西安,"108.964016,34.216494",大慈恩寺（大雁塔）,陕西
288,西安,"108.974336,34.212773",大唐芙蓉园,陕西
289,西安,"108.952502,34.253660",西安碑林博物馆,陕西
290,宝鸡,"107.903895,34.437940",法门寺,陕西
291,宝鸡,"107.237974,34.361979",宝鸡太白山,陕西
292,商洛,"110.565920,33.354674",金丝峡景区,陕西
293,兴安盟,"120.339882,47.202353",阿尔山国家森林公园,内蒙古
294,鄂尔多斯,"109.960645,40.242884",响沙湾,内蒙古
295,呼伦贝尔,"117.354371,49.630000",满洲里国门景区,内蒙古
296,鄂尔多斯,"109.808445,39.362477",成吉思汗陵旅游景区,内蒙古
297,呼伦贝尔,"117.398818,49.614981",满洲里套娃景区,内蒙古
298,呼伦贝尔,"117.394542,49.613482",中俄边境旅游区,内蒙古
299,赤峰,"117.322625,43.550122",克什克腾石阵景区,内蒙古
300,呼伦贝尔,"121.315015,47.562627",柴河景区,内蒙古
301,通辽,"121.620170,42.849822",库伦银沙湾,内蒙古
302,鄂尔多斯,"109.808445,39.362477",成吉思汗陵,内蒙古
303,三亚,"109.765134,18.312780",蜈支洲岛,海南
304,三亚,"109.211022,18.300579",南山文化旅游区,海南
305,三亚,"109.153178,18.307461",大小洞天,海南
306,陵水,"110.200489,18.576258",分界洲岛,海南
307,北京,"116.272876,39.992430",颐和园,北京
308,北京,"116.016802,40.356188",八达岭长城,北京
309,北京,"116.386310,39.937209",恭王府,北京
310,北京,"116.564036,40.430860",慕田峪长城,北京
311,北京,"116.410886,39.881949",天坛公园,北京
312,北京,"116.225249,40.257541",明十三陵,北京
313,北京,"116.393075,40.000743",奥林匹克公园,北京
314,北京,"115.858231,40.409218",北京野鸭湖国家湿地公园,北京
315,天津,"117.192018,39.144074",天津古文化街,天津
316,天津,"117.279729,40.093249",天津盘山风景名胜区,天津
317,重庆,"107.803131,29.429339",武隆天坑地缝国家地质公园,重庆
318,重庆,"107.801280,29.433862",武隆天生三桥风景区,重庆
319,重庆,"107.744381,29.505711",武隆仙女山国家森林公园,重庆
320,重庆,"106.486778,29.526583",黑山谷,重庆
321,重庆,"109.888441,31.080704",巫山小三峡,重庆
322,重庆,"107.909782,29.219574",芙蓉洞,重庆
323,重庆,"108.767222,28.856370",酉阳桃花源,重庆
324,重庆,"109.920733,31.014684",三峡云巅神女天路景区,重庆
325,重庆,"106.413861,28.652910",四面山,重庆
326,重庆,"107.127850,29.048890",金佛山,重庆
327,上海,"121.499740,31.239853",东方明珠,上海
328,上海,"121.542157,31.218603",上海科技馆,上海
329,上海,"121.721670,31.055130",上海野生动物园,上海
330,长沙,"113.003464,28.032966",长沙生态动物园,湖南
331,长沙,"113.054787,28.236436",长沙世界之窗,湖南
332,张家界,"110.702246,29.409692",张家界大峡谷,湖南
333,湘西,"109.603865,27.949937",凤凰古城,湖南
334,长沙,"112.963700,28.203593",橘子洲,湖南
335,长沙,"113.055123,28.232143",长沙海底世界,湖南
336,张家界,"110.625626,29.374596",黄龙洞,湖南
337,长沙,"112.790291,28.457491",靖港古镇,湖南
338,长沙,"112.981344,28.183718",天心阁,湖南
339,长沙,"113.086768,28.026331",石燕湖,湖南
340,长沙,"113.032006,28.103284",湖南省森林植物园,湖南
341,长沙,"114.009560,28.456530",关山古镇,湖南
342,张家界,"110.549707,29.327635",宝峰湖,湖南
343,张家界,"110.461304,29.115103",土家风情园,湖南
344,湘西,"109.558947,28.000385",奇梁洞,湖南
345,娄底,"111.293639,27.951124",梅山龙宫,湖南
346,长沙,"114.168161,28.434760",湖南大围山,湖南
347,株洲,"113.672379,26.422637",湖南炎帝陵,湖南
348,娄底,"111.963955,27.374132",三联峒冰泉景区,湖南
349,永州,"111.845864,26.563191",浯溪碑林,湖南
350,湘潭,"113.027269,27.893490",盘龙大观园,湖南
351,张家界,"111.176434,29.415631",张家界万福温泉冷泉冰泉水世界,湖南
352,湘西,"109.700021,28.254047",乾州古城,湖南
353,湘西,"109.585956,28.339218",德夯苗寨,湖南
354,郴州,"113.046538,25.810136",苏仙岭,湖南
355,常德,"111.503033,29.550716",夹山国家森林公园,湖南
356,怀化,"109.816262,27.192420",芙蓉楼,湖南
357,湘西,"109.838807,28.754123",红石林,湖南
358,长沙,"112.993576,28.211806",湖南省博物馆,湖南
359,常德,"111.441456,28.800577",常德桃花源,湖南
360,株洲,"113.352631,26.997261",湖南神农谷,湖南
361,湘潭,"112.491858,27.905387",毛泽东同志故居,湖南
362,张家界,"110.767057,29.502121",张家界江垭温泉,湖南
363,邵阳,"110.817281,26.373280",崀山国家地质公园,湖南
364,永州,"111.985408,25.350674",九嶷山,湖南
365,娄底,"111.762500,27.877062",涟源湄江风景区,湖南
366,郴州,"112.932511,25.698153",万华岩,湖南
367,常德,"111.064373,29.652310",龙王洞,湖南
368,永州,"112.039131,25.377239",舜帝陵,湖南
369,娄底,"112.459326,27.410468",曾国藩故居,湖南
370,郴州,"113.090380,25.750353",郴州王仙岭旅游区,湖南
371,常德,"111.947391,28.806396",常德市清水湖旅游区,湖南
372,株洲,"113.477375,26.759273",云阳山景区,湖南
373,湘西,"109.606244,27.947132",南华山神凤文化景区,湖南
374,常德,"111.731346,29.056072",柳叶湖,湖南
375,郴州,"112.922145,24.935952",莽山国家森林公园,湖南
376,益阳,"111.360510,28.231708",安化茶马古道风景区,湖南
377,长沙,"112.338558,27.992332",湘电灰汤温泉,湖南
378,长沙,"112.039154,28.216831",宁乡龙泉漂流,湖南
379,长沙,"113.210190,28.587427",杨开慧纪念馆,湖南
380,郴州,"113.287339,26.687697",稻田公园,湖南
381,长沙,"113.886339,28.078068",胡耀邦故居,湖南
382,湘潭,"112.553018,27.729178",湘乡东山书院旅游区,湖南
383,岳阳,"113.146361,28.513109",岳阳市任弼时纪念馆,湖南
384,株洲,"113.584229,27.210566",株洲市酒仙湖景区,湖南
385,永州,"111.925668,26.072762",阳明山国家森林公园,湖南
386,张家界,"110.471176,29.342841",张家界世界地质公园博物馆,湖南
387,株洲,"113.122930,27.820790",神农城炎帝文化主题公园,湖南
388,长沙,"114.077354,28.423770",黑麋峰国家森林公园,湖南
389,郴州,"112.740863,25.455120",天堂温泉,湖南
390,张家界,"110.733267,29.438087",张家界龙王洞旅游景区,湖南
391,益阳,"112.356165,28.551673",益阳奥林匹克公园,湖南
392,邵阳,"110.702502,27.542494",虎形山花瑶风景名胜区,湖南
393,长沙,"112.845095,28.203884",雷锋纪念馆,湖南
394,湘潭,"112.656149,27.658478",彭德怀纪念馆,湖南
395,衡阳,"113.155464,27.068700",罗荣桓故居,湖南
396,益阳,"112.355180,28.553860",益阳市山乡巨变第ᅳ村旅游区,湖南
397,武汉,"114.395108,30.592663",武汉欢乐谷,湖北
398,黄冈,"116.027832,30.985704",桃花冲森林公园,湖北
399,恩施,"108.845463,30.287734",龙船水乡,湖北
400,武汉,"114.365493,30.561423",湖北省博物馆,湖北
401,武汉,"114.233452,31.271856",锦里沟,湖北
402,随州,"112.978451,31.525367",大洪山风景名胜区,湖北
403,宜昌,"111.322556,30.925074",三峡大瀑布,湖北
404,恩施,"109.471607,30.301525",恩施土司城,湖北
405,黄冈,"115.322992,30.391971",天堂寨,湖北
406,武汉,"114.419739,30.541815",武汉植物园,湖北
407,咸宁,"114.305617,29.783560",咸宁太乙温泉,湖北
408,随州,"113.297972,31.848217",随州炎帝故里风景区,湖北
409,武汉,"114.218142,31.292729",木兰清凉寨,湖北
410,咸宁,"113.905998,29.944165",嘉鱼山湖温泉,湖北
411,武汉,"114.397044,31.101462",木兰山,湖北
412,荆门,"112.637672,31.208470",明显陵,湖北
413,荆州,"112.239741,30.335165",荆州古城,湖北
414,恩施,"109.570704,30.566223",梭布垭石林,湖北
415,黄冈,"115.571838,31.110154",薄刀峰,湖北
416,襄阳,"112.032179,31.990732",古隆中,湖北
417,咸宁,"113.824514,29.222438",九宫山,湖北
418,荆门,"112.972668,31.404828",黄仙洞景区,湖北
419,宜昌,"111.266800,30.765232",三游洞,湖北
420,恩施,"110.001364,30.432991",水上恩施野三峡,湖北
421,黄石,"114.912017,30.211486",黄石国家矿山公园,湖北
422,荆州,"111.674040,29.988569",洈水风景区,湖北
423,荆门,"112.077425,30.956247",漳河风景区,湖北
424,黄冈,"115.775193,31.103063",大别山主峰,湖北
425,宜昌,"111.275044,30.313891",三峡九凤谷,湖北
426,咸宁,"114.322708,29.820542",咸宁万豪温泉谷,湖北
427,宜昌,"111.265588,30.767380",西陵峡快乐谷,湖北
428,咸宁,"114.329808,29.818492",咸宁楚天瑶池温泉,湖北
429,咸宁,"114.329062,29.808482",三江森林温泉,湖北
430,孝感,"113.560835,31.311456",孝感白兆山,湖北
431,随州,"112.867516,31.615614",西游记公园,湖北
432,武汉,"114.260818,30.544754",归元寺,湖北
433,十堰,"111.153828,32.511690",太极峡风景区,湖北
434,武汉,"114.256589,30.611422",武汉市博物馆,湖北
435,宜昌,"111.266369,30.766578",西陵峡风景名胜区,湖北
436,咸宁,"114.635320,29.664100",隐水洞,湖北
437,十堰,"110.419931,32.976054",郧西天河旅游区,湖北
438,十堰,"110.549762,33.039637",五龙河,湖北
439,宜昌,"110.937790,30.225993",柴埠溪大峡谷,湖北
440,恩施,"109.570704,30.566223",梭布垭,湖北
441,十堰,"111.274709,32.594089",十堰龙潭河,湖北
442,恩施,"109.120011,29.959237",唐崖土司江山黄金洞,湖北
443,黄冈,"115.576530,30.480610",湖北三角山旅游度假区,湖北
444,恩施,"108.675158,30.226334",佛宝山,湖北
445,黄冈,"115.240756,31.091470",龟峰山,湖北
446,荆门,"112.688722,31.030725",绿林寨,湖北
447,恩施,"108.985095,29.398756",坪坝营原生态休闲旅游区,湖北
448,武汉,"114.306333,30.542024",武昌起义军政府旧址,湖北
449,恩施,"109.087522,29.948771",唐崖河旅游区,湖北
450,恩施,"109.535171,30.074790",宣恩伍家台乡村休闲度假区,湖北
451,武汉,"114.300412,30.553677",武汉革命博物馆,湖北
452,宜昌,"111.777818,30.839500",宜昌世外桃源,湖北
453,宜昌,"111.300981,30.709240",鸣凤山景区,湖北
454,荆州,"112.180383,30.353102",荆州博物馆,湖北
455,十堰,"110.419939,32.976033",玄鼓山景区,湖北
456,鄂州,"114.651631,30.240727",梁子湖生态旅游度假区,湖北
457,宜昌,"110.926435,31.198305",朝天吼漂流,湖北
458,宜昌,"110.937090,30.750199",湖北三峡竹海,湖北
459,武汉,"114.436373,30.505756",武汉市马鞍山森林公园,湖北
460,襄阳,"111.223433,31.716508",五道峡,湖北
461,宜昌,"111.037556,30.679024",车溪,湖北
462,黄冈,"114.901956,30.446522",遗爱湖公园,湖北
463,黄冈,"114.521346,31.149053",李先念故居纪念园,湖北
464,黄冈,"114.865093,30.450448",东坡赤壁,湖北
465,荆州,"113.213495,29.925776",洪湖生态旅游风景区,湖北
466,黄冈,"115.990640,30.988577",英山桃花冲漂流,湖北
467,恩施,"108.675158,30.226334",佛宝山漂流,湖北
468,武汉,"114.430818,30.568971",落雁景区,湖北
469,鄂州,"114.899712,30.380064",鄂州莲花山,湖北
470,宜昌,"111.265956,30.767505",三峡蹦极,湖北
471,武汉,"114.400482,30.517592",中国地质大学逸夫博物馆,湖北
472,孝感,"113.979972,31.104940",孝感天紫湖风景区,湖北
473,襄阳,"110.806778,31.843911",保康尧治河旅游区,湖北
474,咸宁,"113.958080,29.684238",陆水湖,湖北
